crise financière russe de,crise financière russie traduite également crise économique culminé marquée dévaluation brutale rouble défaut dette russe gko
crise financière de janvier à la société générale,article détaille crise financière janvier société générale appelée affaire kerviel janvier président société générale daniel bouton annonce fraude milliards due
liquidité finance d' entreprise,liquidité mesure capacité débiteur rembourser dettes hypothèse poursuite activités différence solvabilité place hypothèse cessation activités mesurer liquidité entreprise évalue importance
airplus,airplus international fournit solutions gestion voyages affaires entreprises associés lufthansa airplus servicekarten gmbh bayerische landesbank deutsche lufthansa ag
affrètement aéronautique,terme affrètement transport aérien applique réalisation vol charter chartering contrat location compagnies aériennes auprès opérateur aérien wet lease loueur avions
analytique recherche,analyse données appelée analyse exploratoire données  aed famille méthodes statistiques principales caractéristiques multidimensionnelles descriptives acception française terminologie analyse données
gage immobilier,gage immobilier anciennement appelé antichrèse sûreté réelle immobilière contrat débiteur remet immeuble appartenant créancier garantir exécution obligation bénéficiaire garantie louer
surebet,surebet anglais sure sûr bet pari méthode pari vise garantir gain jouant différences cotes bookmakers méthode fonctionne différences cotes suffisamment
prix ask,prix ask également appelé prix offre prix demandé prix faible vendeur prêt céder
actif comptabilité,actif élément identifiable patrimoine entité agent économique ménage entreprise etc valeur économique positive c'est-à-dire générant ressource entité contrôle événements passés
propension à épargner,économie propension épargner désigne taux épargne ménages mesuré poids épargne brute revenu disponible brut propension épargner propension consommer étroitement liées
types de dépôts bancaires,clients banques déposer argent valeurs comptes plans france existe variété comptes dépôts formules prévus
cessation de paiements,cessation paiements statut juridique physique entité morale rembourser dettes parvenues échéances passif exigible liquidités actif disponible plupart juridictions cessation paiements
charte de départ,charte équipage charte départ arrangement affrètement embauche navire bateau équipage provisions personnes louant navire propriétaire responsables prendre soin choses
bénéfice par action,bénéfice action bpa eps earnings per share bénéfice net société divisé nombre actions composent capital bénéfice action  ratio présentation
société des moulins de bazacle,société moulins bazacle moulins bazacle fondée toulouse xiie siècle citoyens ville siècles révolution industrielle partager exploitation série moulins installés site
économie comportementale,économie comportementale behavioral economics développée réponse limites économie standard reposant hypothèse rationalité individuelle pris appui avancées psychologie expérimentale portées daniel
centre-ville de beyrouth,centre-ville beyrouth appelés district centrale beyrouth constitue pôle commercial financier beyrouth cœur historique ville située croisée quartiers majorité chrétienne quartier
bénéfice ecclésiastique,xviie siècle france bénéfice ecclésiastique ensemble biens destinés financer office ecclésiastique bénéfice ecclésiastique permettre titulaires charges église vivre agir
coefficient bêta,coefficient bêta coefficient clé modèle évaluation actifs financiers medaf correspond rapport historique volatilité prix actif exemple cours bourse action prix
prix bid,prix bid prix élevé acheteur c'est-à-dire soumissionnaire prêt payer généralement appelée simplement bid
billing and settlement plan,billing and settlement plan bsp traduire français organisation régulation paiements facturations filiale iata
option binaire,trading option binaire type option exercice uniquement maturité porte livraison actif sous-jacent donne lieu versement somme monétaire déterminée avance option
bitcache,bitcache service utilisant blockchain relie transferts fichiers micro-transactions bitcoin technologie conçue permettre millions micropaiements anonymes effectués rapidement
modèle de black litterman,modèle black litterman modèle optimisation portefeuille contraintes mis point fischer black robert litterman développé pallier manque fiabilité souplesse modèles quantitatifs
blended finance,blended finance appelé financement mixte définie utilisation stratégique financement développement fonds philanthropiques mobiliser flux capitaux privés marchés émergents engendrant résultats
prêt à la grosse aventure,prêt grosse aventure également appelé nautika simplement prêt maritime grec ancien ἀργὐριον ναυτικός argurion nautikos δανείσματα ναυτικά daneismata nautika grèce
prêt relais,prêt relais appelé crédit in fine crédit pont belgique crédit soudure crédit capital dû terme contrat objet financer apport constitue
budget,agent économique savoir individu ménage association entreprise état entité savoir équipement service établissement projet mission fonction  budget document récapitulatif
budget de l' état de la république d' azerbaïdjan,système budgétaire azerbaïdjan constitué budget république azerbaïdjan budget république autonome nakhitchevan budgets locaux
agent de change,agent change exerce fonction négociation valeurs mobilières instruments financiers règlementations périmètres compétence variables pays époques
informatique décisionnelle,informatique décisionnelle anglais business intelligence bi decision support system dss informatique usage décideurs dirigeants entreprises désigne moyens outils méthodes permettent
évaluation d' entreprise,évaluation entreprise ici estimation partir critères veulent objectifs valeur marchande jvm entreprise date donnée définit prix élevé exprimé devise pays
acheter et conserver,acheter conserver buy and hold anglais stratégie passive investissement consiste choisir placements conserver long terme stratégie part principe investissements actions
crédit acheteur,crédit acheteur crédit accordé acheteur banque fournisseur financer export montants supérieurs millions euros durées ans
carry trade,carry trade opération spéculative écart rendement technique financière employée forex consiste profiter écarts rendement types actifs carry trade arbitrage arbitrage
chancelier de l' échiquier,chancelier échiquier anglais chancellor of the exchequer simplement appelé chancelier ministre gouvernement royaume-uni chargé finances trésor tête trésor majesté hm
finance catholique,finance catholique appartient catégorie finances éthiques religieuses instar finance islamique finance catholique caractérise existence dimensions dimension personnelle acteurs dimension opérationnelle
impôt philosophiquement dédicacé,différence impôt église principe charge seuls croyants indirectement prélevé église impôt philosophiquement dédicacé constitue imposition complémentaire technique affectation impôt dû
chūō ku osaka,arrondissement chūō 中央区 chūō ku arrondissements osaka japon
collar,collar appelé tunnel combinaison cap floor objectif réduire coût couverture risque taux existe collars prêteurs emprunteurs taux variable
garantie finance,finance garantie collatéral actif transférable sûreté voire promesse garantie servant couvrir risque crédit opérations financières cas bénéficiaire satisfaire obligations paiement
lettre d' intention,lettre confort lettre patronage engagement honneur baptisé lettre intention législateur français sûreté personnelle accessoire autonome réglementée france code civil réforme
secrétaire commercial au trésor,secrétaire commercial trésor commercial secretary to the treasury poste ministériel gouvernement royaume-uni trésor majesté classe niveau sous-secrétaire parlementaire état démission
commission rémunération,contrat commission somme argent versée intermédiaire mis contact vendeur acheteur marché
comité pour la réélection du président,comité réélection président committee to re elect the president crp organisme chargé financer campagne électorale richard nixon fut impliqué scandale
commodity credit corporation,commodity credit corporation ccc agence gouvernementale américaine rattachée département agriculture états-unis fut créée octobre cadre new deal franklin d roosevelt
oniomanie,oniomanie trouble lié achat compulsif familièrement fièvre acheteuse manie compulsive achats généralement nécessaires individu manie découverte allemagne fin xixe siècle
dette privée,dette privée pays confondre dette intérieure dette domestique dette ensemble agents économiques privés ménages entreprises artisans commerçants professions libérales agriculteurs
modèle d' évaluation des actifs basé sur la consommation,modèle évaluation actifs basé consommation capm consommation ccapm décrit décisions simultanées consommation choix portefeuille situation incertitude cadre choix intertemporel actifs
risque de crédit,risque crédit risque emprunteur rembourse partie crédit échéances prévues contrat signé organisme préteur généralement banque maîtrise risque crédit cœur métier
risque pays,risque pays notion rapproche régulièrement risque politique naissance concept correspondrait nationalisation canal suez nasser
arbitrage finance,arbitrage opération financière destinée assurer gain positif manière profitant écarts temporaires prix constatés titres contrats exemple prenant position simultanément sens
crédit,crédit mise disposition argent forme prêt consentie créancier prêteur débiteur emprunteur créancier opération donne naissance créance emprunteur vertu pourra obtenir
resserrement du crédit,sciences économiques resserrement crédit pénurie crédit voire étranglement crédit emploie également terme anglais credit crunch limitation raréfaction crédit offert entreprises
rehaussement de crédit,rehaussement crédit opération financière établissement financier spécialisé appelé rehausseur crédit monoline anglais apporte garantie organisme public privé émet emprunts marchés
extourne,comptabilité extourne passation écriture inverse écriture initiale extourne exemple provenir produits charges comptables enregistrés exercice concernent exclusivement
notation financière,notation financière externe notation dette rating monde anglo-saxon appréciation agence notation financière risque solvabilité financière  entreprise état notation souveraine
créancier,créancier possède créance représentée titre créance entreprise état souverain appelé débiteur distingue créanciers privilégiés créanciers chirographaires
cross collatéralisation,finance cross-collatéralisation droits désigne récupérer bénéfices support exploitation compenser pertes produit exploité support pratique courante cinéma audiovisuel lorsqu' société titulaire
financement participatif,financement participatif crowdfunding anglais sociofinancement canada expression décrivant outils méthodes transactions financières appel grand nombre personnes financer projet terme crowdfunding
cryptomonnaie,cryptomonnaie cryptoactif cryptodevise monnaie cryptographique monnaie utilisable réseau informatique décentralisé pair pair fondée principes cryptographie intègre utilisateur processus émission règlement
ratio de liquidité générale,ratio liquidité générale current ratio comparaison actifs court terme current assets entreprise passifs court terme current liabilities ratio  
cape finance,cape cyclically adjusted price to earnings ratio shiller pe ratio utilisé analyse boursière généralement appliqué marché s&p états-unis price earning
débenture,débenture instrument financier caractéristiques obligation débenture offre garantie conséquent offre couverture acheteur titre cas défaut paiement
debit spread,finance debit spread résume investisseur option calling true achète option call benefit taxe forte prime simultanément put option giving down
dette,dette latin debeo signifiant devoir devoir obligation débiteur créancier échange asynchrone entités groupe entreprise état)[réf souhaitée
compteur de la dette publique,compteur dette publique compteur général placé espace public affichant montant présumé dette publique pays temps réel
recouvrement de créances,recouvrement créances désigne utilisation moyens légaux soient amiables judiciaires obtenir débiteur paiement créance due créancier
regroupement de crédit,regroupement crédits technique financière consiste consolider dettes crédits regroupant crédit rééchelonné durée longue emprunteur assumer mensualité charge remboursement mensuel diminuée
moratoire,moratoire latin moratorius morari retarder terme juridique désigne décision accorder délai suspension volontaire action disposition légale nécessitée raisons impérieuses intérêt
annulation de la dette,annulation dette action politique financière demande levée partielle totale dette pays institutions entreprises individus accompagne généralement rééchelonnement dettes restantes
restructuration financière,restructurations financières anglais workout debt restructuring distinguent restructurations opérationnelles correspondent restructuration passif financier entreprise principalement dettes
taux de couverture de la dette,debt service coverage ratio dscr taux couverture dette tcd exprime rapport excédent brut exploitation service dette intérêt principal cas échéant
débiteur,débiteur solvens somme argent empruntée créancier créditeur conséquent porte dette terme latin accipiens désignait largement susceptible percevoir dette créancier tierce
défaut de paiement,défaut paiement désigne entreprise pays mesure honorer partie totalité engagements tiers défaut paiement part entreprise entraîner faillite
ministère des finances canada,ministère finances anglais department of finance canada ministère chargé conseiller gouvernement élaboration politiques économiques
département des finances irlande,département finances department of finance anglais an roinn airgeadais irlandais irlande département ministériel responsable gestion finances publiques irlandaise pouvoirs devoirs
département des finances irlande du nord,département finances anglais department of finance and personnel département ministériel dévolu irlande nord chargé politique budgétaire poste vacant janvier
dette décotée,dette décotée dette déclassée agences notation dette décotée taux rendement supérieur emprunt état rémunérant risque élevé associé
désinvestissement,domaine économie comptabilité finance désinvestissement entreprise investisseur public entrepreneur individuel ménage désigne choix désinvestir c'est-à-dire réduire annuler investissements antérieurs cession
urbanisme diy,do it yourself diy urbanism connu nom urbanisme tactique pop-up guérilla mouvement désigne transformation milieu urbain petite échelle initiée résidents
achats périodiques par sommes fixes,investissement programmé stratégie investissement bourse consiste investir régulièrement somme identique support état marché objectif stratégie investissement réduire risque lié volatilité
bénéfice par action,bénéfice action bpa eps earnings per share bénéfice net société divisé nombre actions composent capital bénéfice action  ratio présentation
capital économique sociologie,sociologie capital économique désigne ensemble ressources économiques individu fois revenus patrimoine concept introduit ouvrage distinction pierre bourdieu
rente de situation,rente situation surplus rentabilité appelé surprofit obtient entreprise avantage compétitif avantage venir  grande efficacité technique coûts produits services attractifs
théorie moderne du portefeuille#la frontière efficiente,théorie moderne portefeuille théorie financière développée harry markowitz expose investisseurs rationnels utilisent diversification optimiser portefeuille devrait prix actif donné risque
pays émergent,pays émergent économie émergente marché émergent pays pib habitant inférieur pays développés connait croissance économique rapide niveau vie structures économiques
principes de l' équateur,principes équateur principes utilisés grandes banques internationales impliquent prise compte critères sociaux sociétaux environnementaux financement projets
euro-obligation,euro-obligation mentionnée appellation anglaise euro bond obligation libellée monnaie pays marché émise exemple obligation dollar émise marché européen
euromonnaie,euromonnaie eurodevise monnaie détenue compte banque située pays émission devise parlera eurodollars comptes dollars états-unis euroyens compte yens japon
conseil européen du risque systémique,conseil européen risque systémique anglais european systemic risk board esrb créé décembre réponse crise financière mondiale débutant organisme chargé réglementation
ex ante,ex ante locution latine signifiant préalable finance expression concerne prévision estimations retours investissements
crédit export,crédit export crédit acheteur crédit financement exportations proposée etat agence spécialisée crédits existent demi-siècle
dette extérieure,économie dette extérieure désigne ensemble dettes dues pays état entreprises particuliers prêteurs étrangers important faire distinction dette extérieure brute pays
fire movement,mouvement fire acronyme anglais financial independence retire early français indépendance économique retraite précoce mouvement objectif indépendance financière retraite anticipée modèle
ftse4good,série indices ftse4good conçue identifier sociétés œuvrent faveur environnement attachent développer dialogue parties prenantes soutiennent principes universels droits homme
département fédéral des finances,département fédéral finances dff suisse départements conseil fédéral ueli maurer tête département 1er janvier
ministère fédéral des finances allemagne,ministère fédéral finances bundesministerium der finanzen bmf ministère finances gouvernement fédéral allemand chargé finances publiques fédération ministère économie ministère fédéral
service public fédéral finances,spf finances service public fédéral administre aspects financiers état belge siège bruxelles north galaxy towers agents tour finances
feeder fund,feeder fund fonds nourricier fonds investissement opère virtuellement ensemble investissements travers fonds appelé fonds maître master fund fonds nourricier fonds
budgétisation d' film,budgétisation préparation budget devis prévisionnels film réfère processus producteur exécutif directeur production préparent budget production cinématographique document comporter pages utilisé
finance,finance recouvre domaine activité financement consiste fournir argent nécessaire réalisation opération économique domaine concerne individus ménages entreprises publiques privées états
crédit d' investissement,crédit investissement prend généralement forme prêt équipement accordé généralement établissement crédit
commission des services financiers de l' ontario,commission services financiers ontario responsable surveillance industries assurance pensions ontario responsable immatriculation institutions assurances pensions application lois applicables voie tribunal
place financière,place financière définition banque france lieu assure rencontre multiples acteurs concourent bon fonctionnement marchés financiers écosystèmes dégageant importantes synergies agit
innovation financière,innovation financière généralement référence création développement marketing nouveaux types valeurs mobilières
institution financière,économie institution financière institution publique privée assure mission économique financière fournit services financiers clients institutions financières privées appelées établissements financiers
intermédiaire financier,intermédiaires financiers interposent agents économiques ajustant offre capitaux demande capitaux c'est-à-dire drainant capacités financement agents constituées épargne inutilisée prêter replacer
éducation financière,définition conseil ocde juin éducation financière processus consommateurs investisseurs  améliorent connaissance produits concepts risques financiers acquièrent moyen information enseignement
planificateur financier,planificateur financier conseiller professionnel qualifié accrédité juridictions professionnelles exerce planification patrimoniale dispense service conseil appliquant processus anticipation affaires patrimoine
ratio financier,comptabilité ratio  coefficient pourcentage généralement calculé masses fonctionnelles bilan compte résultat ratios servent mesurer rentabilité structure coûts productivité solvabilité
risque financier,risque financier risque perdre argent suite opération financière actif financier opération économique incidence financière exemple vente crédit devises étrangères
secteur financier,secteur financier secteur économique regroupe activités rapportent finance comprend secteur bancaire assurance point désigné secteur banque assurance
système financier,système financier ensemble établissements financiers échangent fonds organisation informelle marchés financiers crédit bancaire marchés boursiers comportement établissements régulé banque centrale
technologie financière,technologie financière dénommée fintech nouvelle industrie financière déploie technologie améliorer activités financières terme fintech contraction finance technologie
financiarisation,terme financiarisation renvoie significations  sens strict vocabulaire financier phénomène désigne recours accru rapport périodes antérieures financements extérieurs endettement part
course à la liquidité,course liquidité fuite liquidité flight to liquidity concerne investissements valeurs mobilières phénomène brutal intervient périodes tension marchés financiers cours épargnants
fuite vers la qualité,fuite qualité termes anglais flight to quality flight to security employés phénomène importants mouvements capitaux  krach boursier déplacent valeurs
taux de change anticipé,taux change anticipé utilisé agent économique lorsqu' travaille devises but planifier transactions futures agent effectue anticipations prévoir niveau taux change
ministère de l' économie et des finances france,ministère économie finances département ministériel chargé gestion finances publiques politique économique état français surnommé bercy installation quartier bercy 12e arrondissement
marchés frontières,notion marchés naissants marchés pré-émergents marchés émergents avenir financiers nomment marchés frontières influence anglais terme désignant ensemble pays émergents marché
financement,financement opération consiste finance consentir ressources monétaires financé procurer ressources monétaires nécessaires réalisation projet lever fonds
collecte de fonds,collecte fonds expression décrivant outils méthodes transactions financières appel grand nombre personnes financer projet applique généralement organisation but lucratif parti
g23,groupe vingt-trois g23 réunion états pauvres planète opposition g8 réunis cancún égide brésil chine inde
g33,g33 groupe pays voie développement coordonnent questions économiques commerciales fut créé aider pays résoudre problèmes similaires face
geldkarte,geldkarte système porte-monnaie électronique utilisant carte puce geldkarte principalement présent allemagne
glasgow stock exchange,glasgow stock exchange anciennes bourses régionales anglaises connu forte activité xixe siècle fusionner
goal based investing,investissement basé objectifs anglais goal based investing gbi méthode investissement performance mesurée succès investissements concrétisation objectifs personnels investisseur diffère méthodes
recettes publiques,recettes publiques ensemble recettes perçues administrations publiques constituent essentiellement impôts taxes cotisations sociales
great trade collapse,great trade collapse traduit grand effondrement commerce mondial conséquence crise financière mondiale lieu trimestre second trimestre
lettres grecques en mathématiques financières,lettres grecques aka grecques aka grecs instruments base gestion financière options découlent principaux modèles évaluation option black scholes
microfinance verte,microfinance verte alliance microfinance enjeux liés environnement agit ensemble activités microfinance micro-crédits etc
action de croissance,action croissance action finance société volume activité chiffre affaires résultats financiers bénéfices accroissent fortement année année analystes financiers investisseurs boursiers
trésor de sa majesté,trésor majesté anglais her majesty' treasury hm treasury département exécutif gouvernement britannique chargé élaboration mise place finances publiques politiques économiques
dépréciation,économie dépréciation  perte valeur généralement monnaie comptabilité générale dépréciation constatation comptable moins-value élément actif
bourse de commerce,bourse commerce lieu physique virtuel négocient marchandises créée anvers
investissement,vocabulaire comptabilité nationale investissement formation brute capital fixe abrégé fbcf agents économiques  entreprises valeur biens durables acquis utilisés an
hochstift,saint empire romain germanique hochstift littéralement haute fondation allemand territoire juridiction temporelle évêque hochstift évêque distinguait bistum diocèse territoire juridiction
crédit hypothécaire,crédit hypothécaire crédit garanti hypothèque
rente d' hotelling,économie rente hotelling rente rareté rente touchée propriétaire stock ressources renouvelables porte nom économiste américain harold hotelling article the economics
ikoyi,ikoyi  quartier huppé lagos situé zone gouvernement local eti osa
investissement à impact social,investissement impact social impact investing stratégie investissement cherchant générer synergies impact social environnemental sociétal part financier neutre positif part
revenu,revenu agent économique désigne ensemble droits ressources disponibles attribués cours période donnée prélèvement patrimoine conceptuellement concrètement revenu central étude appréciation
avantage en nature,avantage nature forme rémunération forme monétaire prise charge employeur salariés etat fonctionnaires élus biens services contrepartie financière participation inférieure valeur
fonds indiciel,fonds indiciel fonds placement valeur maintenue conformément indice boursier précis exemple cac gestion passive fonds entraîne frais gestion généralement élevés
indexation finance,finance indexation ajustement valeur indice indice inflation indice boursier taux référence somme indexée évolue évolution indice référence taux évolue proportion
índice general de la bolsa de valores de colombia,igbc índice general bolsa valores colombia indice principal bourse valeurs colombie  constitué entreprises cotées actives
indulgence catholicisme,église catholique romaine indulgence latin indulgere accorder rémission totale partielle dieu peine temporelle nommée pénitence encourue raison péché déjà pardonné
inflation,inflation perte pouvoir achat monnaie traduit augmentation générale durable prix agit phénomène persistant monter ensemble prix superposent variations sectorielles prix
administrateur judiciaire,droit français administrateur judiciaire auxiliaire justice désigné tribunal lorsqu' entreprise objet procédure redressement judiciaire procédure sauvegarde chargé défendre intérêts société
secteurs institutionnels,secteur institutionnel ensemble unités institutionnelles fonction économique principale
investisseur institutionnel,investisseurs institutionnels organismes collecteurs épargne engagements actifs régis texte législatif réglementaire rendements tirés investissements permettent couvrir engagements moyen long terme
assurance,assurance service fournit prestation survenance événement incertain aléatoire appelé risque prestation généralement financière destinée individu association entreprise échange perception cotisation
courtier d' assurances,courtier assurances courtier assurances commerçant indépendant servant intermédiaire opération commerciale compagnie assurances consommateur final
intérêt finance,finance intérêt rémunération prêt forme généralement versement périodique emprunteur prêteur prêteur prix renonciation temporaire liquidité
parité des taux d' intérêt,parité taux intérêt couverte couverte identités définissent lien taux intérêt taux change
dette intérieure,terme dette intérieure dette interne dette domestique désigne ensemble créances détenues agents économiques résidents état souverain état ajoutée dette extérieure
taux de rentabilité interne,taux rentabilité interne tri tir taux actualisation annule valeur actuelle nette série flux financiers général relatifs projet investissement initial suivi
international financial services centre,ifsc international financial services centre centre affaires irlandais situé centre dublin capitale irlande
association fiscale internationale,association fiscale internationale international fiscal association fondée siège situé pays-bas
finance internationale,finance internationale branche sciences économiques étudie flux capitaux pays
modèle intertemporel d' évaluation des actifs,modèle intertemporel évaluation actifs medaf intertemporel icapm détermine rendement théorique actif financier investisseurs intéressés fortune fin période modèle medaf capm
rotation de stock,rotation stock indicateurs utilisés fonctions contrôle gestion logistique rotations calculées monde financier exprime durée quantité stock
investissement,vocabulaire comptabilité nationale investissement formation brute capital fixe abrégé fbcf agents économiques  entreprises valeur biens durables acquis utilisés an
fonds de placement,fonds placement fonds investissement organisme détention collective actifs financiers intérêt gestion collective bénéficier gestionnaires placements professionnels économies échelle coûts transaction
investisseur,investisseur physique morale alloue part capital disponible attente investissement investir actions obligations produits dérivés devises matières premières immobilier actif
mécanisme de règlement des différends entre investisseurs et états,mécanisme règlement différends investisseurs états anglais investor state dispute settlement isds abrégé instrument présent traités libre-échange entreprises attaquer état tribunal
profil boursier,profil boursier concept finance comportementale traduit mode comportement titre coté généralement action style décisions boursières investisseur
