1998年俄罗斯金融危机,1998年俄罗斯金融危机（也称卢布危机）是指1998年8月17日在俄罗斯发生，最终导致了俄罗斯政府将卢布贬值，并且宣布无法按时偿还国债的一次金融危机。
普通合伙人,普通合伙人是指某人参与至少已有一人存在的商业形式。普通合伙人有责任对公司的经营行为负责任。普通合伙人有权管理、决定合伙事务，负责带领团队运营，对合伙债务负无限责任；有限合伙人即真正的投资者，但不负责具体经营，對合伙債務並不負無限責任，即最多只會虧蝕已投資在該公司的資金。 普通合伙人的形式可以为以下： 无限责任合伙制 有限责任合伙制 == 参考 ==
增值,增值（Added value）是財務分析上用以衡量股東價值的項目。這個項目利用以下的算式計算： 增值（Added Value） = 銷貨量（Sales） - 購貨量（Purchases） - 勞工成本（Labour Costs） - 資金成本（Capital Costs）另外，增值亦可以定義為區別某一特定貨物的最終銷售價格，在扣除所有製造特定產品的所有直接及間接投入開支後的剩餘價值。 這兩個定義的差別，就是一家公司與股東在某一財政年度所賺得的盈利，在扣除應有的開銷及除稅後的利潤。公司的增值，可以幫助投資者透過與定期存款或其他從債券之類的商業票據所得的收入而衡量一家公司是否值得投資，
濕租,濕租（英语：wet lease）指的是航空公司跟其他公司租借飛機零件，連同機上最少一名機組人員一起租。這種狀況最常出現在剛成立的航空公司，或自己的公司沒有租借的同型機，還有旅遊旺季、麥加朝聖等特殊節日時。例如遠東航空租給吳哥航空的波音757，即是採用濕租模式。著名的濕租公司有美國的亞特拉斯航空（Atlas Air），曾濕租多架波音747貨機給予中華航空。但代碼共享不是濕租。相對於濕租則為乾租（dry lease）。
空投 ( 区块链 ),区块链领域的空投是一种将数字货币通过区块链技术大规模分发到一些已有的数字货币，比如以太币、比特币﹑EOS.IO钱包地址上的技术。空投在区块链领域亦视作一种提升一个产品概念影响力的市场策略。在Facebook等社交媒体拒绝刊登数字货币广告后，空投在区块链的营销中已变得越发重要。 == 参考 ==
Z-score模型,Z-Score模型（Z-Score model）是由美國紐約大學的教授Edward Altman於1968年所提出，藉由企業主要的財務指標分析和模擬，來預測企業破產的可能性，從而預測企業的信用風險，是常見信用風險的模型之一。 Z=1.2*營運資產+1.4*保留盈餘+3.3*稅前息前盈餘+0.6*市價與帳面價值比+0.99*營業收入
資產,會計學上的資產（英文：Asset），指一企業透過交易或非交易事項所獲得之經濟資源，能以貨幣衡量，並預期未來能提供效益者。资产，就是能够为个人或企业带来收益的东西。在財務會計中，資產是企業擁有的任何資源。任何有形或無形的可以擁有或控制以產生價值並由公司持有以產生積極的經濟價值的東西都是一種資產。
资产类别,资产类别是一组具有类似财务特征且在市场中表现相似的工具。我们经常可以将这些工具分解为与实际资产有关的工具和与金融资产有关的工具。通常，同一资产类别的资产必须遵守相同的法律法规；然而，这并非总是如此。例如，资产的期货通常被视为与基础工具相同的资产类别的一部分，但受到与基础工具不同的法规的约束。许多投资基金由两个主要资产类别组成，即证券：股票和固定收益（债券）。但是，有些基金还持有现金和外币。基金也可以持有货币市场工具，他们甚至可以将这些工具称为现金等价物 ; 但是，这忽略了违约的可能性。因此，作为短期固定收益投资的货币市场工具应与固定收益分组。除了股票和债券，我们还可以将现金，外币，房地产，基础设施和商品添加到常見的资产类别列表中。一般而言，资产类别预计会表现出不同的风险和回报投资特征，并且在某些市场环境中表现不同。
授權資本,授權資本（英语：Authorised capital），即所謂的額定資本（又稱資本總額）。一般來說，資本稅就是依照該金額收取的。目前学界對授權資本的存廢，有支持與反對兩種立場。如英國法學會（The Law Society）的主流觀點是反對取消，認為如果取消將弊大於利。
呆帳,呆帳（Bad Debts），又稱壞帳、呆壞帳，較文雅的稱法為不良債權，是應收帳款中無法收回的部分。歸屬為費損類，出現在損益表中。呆帳發生的原因，是因為企業為了銷售商品，而給予客戶信用融通，因此呆帳的產生是為了創造收入而發生的一項費用。 當然，銀行或者財務公司放款，之後其客戶的生意清盤，也會產生壞賬。不過，當壞賬已經歸入損益表，作為支出部份，但是其後又收回，即是又稱為收入。
紓困,紓困（英语：Bailout），是一個口語化的非正式經濟學術語，由bail和out組成，意指出面拯救一個企業或國家免於破產，或防止金融危機蔓延的手段或計畫，這個詞主要在2008年金融海嘯以後流行。Bailout的詞源本是指在航海中，將船隻中的積水往外舀出的行為。而與Bailout的相對詞是bail-in，是指股东和债权方责任制，即強制由系统重要性金融机构介入，不再由納稅人買單。 部分國家的政府曾運用此一手段參與了債務重整計畫，例如美國政府在2009年至2013年間對通用汽車的紓困。 == 参考文献 ==
銀行帳戶,銀行帳戶是金融機構和銀行客戶之間的財政帳戶，又稱為戶口（香港、澳門）、戶頭（臺灣、中國大陸）或口座（臺灣、日本）。銀行帳戶可為存款帳戶、信用卡帳戶或金融機構提供的其他類型帳戶。財務機構以銀行結單通知客戶其銀行帳戶在特定時間之間的交易。帳戶在特定時間的結餘就是該客戶在金融機構的部位。
破產,破產（英语：Bankruptcy），是一種宣告債務人无力偿付债务及其後的一系列還款予债权人過程的法律程序。
光船傭船契約,光船傭船契約（Bareboat charter），又稱為光船租船，係指船舶所有人與光船傭船人約定，於一定或不定期間內，僅將船舶本身（不包含船員）移轉由傭船人占有經營，而由傭船人支付租金的契約。此種傭船契約本質上即屬於一種「船舶租賃」而與一般的計時或計程傭船契約不同。 光船傭船契約和一般所謂的計時或計程傭船契約在法律性質上有著很大的不同之點在於，計時或計程傭船契約中，傭船人得以船舶之一部或全部於一定時間或一段航程內運送貨物。在這兩種傭船契約中，傭船人雖然可以自由指定船舶應該航行至何處，但船舶仍歸船舶所有人占有保管，且船舶上的船員和船長係由船舶所有人所雇用。然而在光船傭船契約中，船舶所有人將會把船舶移轉給傭船人占有保管，且其上的船員和船長必須由傭船人自己雇用之。也因為船舶已經移轉占有給光船傭船人，亦由其負經營保管之責，故若因駕駛或是其他管理不善而造成他人受有損害之時，亦應由光船傭船人（而非船舶所有人）負責，船舶所有人於光船傭船期間並不需要負擔任何費用與責任。
每股盈餘,每股盈餘（英文：Earnings Per Share，EPS ) ，又称每股收益或每股盈利，是公司的獲利指標，對於有公開市場股票交易的公司而言，每股盈餘和公司的股價都有一定的聯動性，因此這也是公司現有股東與潛在投資人衡量公司獲利的關鍵要素之一。這詞彙經常出現於財經刊物或報章的財經版。
貝特馬爾 ( 阿拉伯語 ),貝特馬爾（阿拉伯语：بيت مال‎，拉丁化：Bayt al-mal）在阿拉伯語裡的意思是「金錢之屋」或「財富之屋」。在歷史上，它是伊斯蘭國家負責管理稅賦的金融機構，特別是早期的哈里發國。貝特馬爾作為哈里發及蘇丹的皇室國庫，處理私人的財務及國家開支。此外，貝特馬爾會把天課的收入用於公共項目。
行為經濟學,行為經濟學（英语：Behavioral economics），經濟學的一個分支，承襲經驗主義，並受到心理學與認知科學的影響，探討社會、認知與情感的因素，與個人及團體形成經濟決策的背後原因，並從而了解市場運作與公共選擇的方式。在行為經濟學之外，又分支出行为金融学這個子學科。
贝鲁特中央区,贝鲁特中央区是黎巴嫩首都贝鲁特的历史和地理核心区，金融，商业和行政中心。该区已有数千年历史，传统上一直是商业，金融，文化和休闲的焦点。 它坐落在城市的北部海岸，从城市的各个角落来此都很方便，主要道路从此通往城市的东，南，西边界，北部海岸线长约1.5 km（1 mi）。 贝鲁特中央区在黎巴嫩内战中遭到破坏，20世纪90年代，贝鲁特中央区经历了彻底的重建和发展计划，以恢复其在该地区的文化和经济地位。它的重建构成了当代城市最雄心勃勃的发展计划之一。 今天，位于贝鲁特中央区的有黎巴嫩国会、黎巴嫩政府总部、贝鲁特证券交易所、联合国地区办事处、国际劳工组织、联合国教科文组织和世界银行等。
Beta系数,"貝塔系数（ β { \displaystyle \beta } 系數，貝塔系數，香港又譯作：啤打系數）是用以度量一项资产系统性风险的指标，是资本资产定价模型的参数之一。指用以衡量一种证券或一个投资证券组合相对总体市场的波动性的一种证券系统性风险的评估工具。 公式为： β a = Cov ( r a , r m ) σ"
乖離率,"乖離率（英语：Bias Ratio , BIAS），代表當日股票收盤價和移動平均線的差距，以分析股價偏離的程度。 當股價和移動平均線的差距愈遠時，乖離率愈大，代表股價即將有修正偏離的可能。當乖離率呈現過高或過低情況時，股價均會產生反轉的修正走勢。 「正乖離」越大表示「超買」（Overbought），將有下跌的壓力；「負乖離」越小表示「超賣」（Oversold），將有上升的動能，此時股價將會有向平均成本移動作調整的機會。 單獨使用乖離率會有買賣點不明確的缺點，僅能解釋成發生反轉的機會增加，尚需佐以經驗法則和其他分析工具來作判斷。"
二元期權,二元期權（英语：Binary option）是一種衍生性投資工具，是期權的一種，只有看漲或者看跌期權，而回報率與交易時間在交易開始時就告確定，於2008年在美國芝加哥期貨交易所 ( CBOE ) 正式掛牌交易，具有高獲利、高風險的特性，標的資產可以是外匯匯率、股票、商品價格及指數等。 二元期權是「賭」一定交易時間後，標的資產的價格與執行價格的變化，分為看漲（Call）或者看跌（Put）期權，到期時只有兩種可能結果：價內、價外，根據一種標的（股價、匯率或商品價格或股市指數）在到期時的走向與預測是否符合來決定是否獲利，當正確地預測一個指定的時間內標的資產價格或指數的方向時，就是價內，可以得到確定的獲利率與原投資金額，反之，則為價外，原投資金額將全部歸零。或只能收回相當小的比率。 要交易二元期權，必須到經紀商（Broker）開立帳戶，存入一定的金額，才能開始交易。為防止洗錢與詐騙，所有經紀商都會要求在請求提領金額時須提交身分證明、地址證明，付款工具（信用卡正反面圖案）等。 詐騙 聯邦貿易局曾指出，根據美國證券交易委員會和商品期貨交易委員會發布的最新報告，消費者應當警惕出現的有關「二元期權」（binary options）的投資騙局。 聯邦貿易局表示，面對「二元期權（binary options）」投資利潤的誘惑，如果消費者對此概念並不熟悉，最好還是緊緊護住自己的錢袋，不要被騙子所謂的投資回報好的金融產品所迷惑。理論上，二元期權是一種衍生性投資工具，是期權的一種，只有看漲或者看跌期權，而回報率與交易時間在交易開始時就告確定，於2008年在美國芝加哥期貨交易所 ( CBOE ) 正式掛牌交易，具有高獲利、高風險的特性，標的資產可以是外匯匯率、股票、商品價格及指數等。交易通常通過網絡或手機應用交易平台進行。 二元期權是「賭」一定交易時間後，標的資產的價格與執行價格的變化，分為看漲（Call）或者看跌（Put）期權，到期時只有兩種可能結果：價內、價外，根據一種標的（股價、匯率或商品價格或股市指數）在到期時的走向與預測是否符合來決定是否獲利，當正確地預測一個指定的時間內標的資產價格或指數的方向時，就是價內，可以得到確定的獲利率與原投資金額，反之，則為價外，原投資金額將全部歸零。或只能收回相當小的比率。 在這個過程中，有一些賣家從事欺詐行為，比如宣傳虛假的利潤回報、站在消費者的對立面、要求消費者在套現前購買大量二元期權。而一旦消費者決策失誤，所有原始投資將全部打水漂。有專業人士指出，二元期權的支付結構有利於賣方、會衍生出身分盜竊、通過軟件導致買家交易失利等問題。而且由於許多賣家在海外，執法機構很難就詐騙案展開調查。 ==
红利,红利，英文为bonus或extra dividend，是公司（或其它按出资资本决定收益分配的非公司经济组织，如中国大陆的农村信用合作社）的税后利润提取各种公积金、公益金、优先股股息后剩余的盈利，按照股东（不含优先股股东）持股比例分配给股东。股东获得红利的多少根据公司的经营盈亏而变动，是不固定的。而股息是按照股票票面金额的一个固定比率向股东支付利息，不随股票二级市场上股价波动与公司经营业绩情况而变化。
過橋貸款,过桥贷款（英语：bridge loan）是一种短期贷款，通常是用來做從2周到3年之間，為了取得更大筆或更长期融资的暫時安排。它通常在英国称为过渡性贷款（英语：bridging loan），有時被稱做警告贷款（英语：caveat loan），又有時也被称为搖擺贷款（英语：swing loan）。在南非較常稱做过渡性融资（英语：bridging financing）但使用此詞的時間南非比其他地方而言更加嚴格。 过桥贷款是个人或企業用於临时的融务需求，直到獲得永久融资或下一阶段的融资，新的融资资金通常被用来偿还过桥贷款及其他資本支出的需求。 == 引用 ==
預算,预算（英语：Budget）是指为某特定的时间段作出的财政计划。所有的预算，不管是政府的、企业的或家庭个人的，都涉及在各种可能的支出之间进行选择，本质上就是配置稀缺资源。收入和开支是所有预算的核心内容。预算也可能包含有计划的销售额、利润、资源数量、成本、开销、现金流动等，是以可测量的指标来衡量经济体、组织、活动、事件的战略计划。
預算線,预算线又称预算结束线，消费可能线和价格线。预算线表示在消费者的收入和商品的价格给定的条件下，消费者的全部收入所能购买到的两种商品的各种组合。 預算線，又名預算限制 ( Budget Line/Budget Constraint ) 是在給定的收入水平和固定的商品價格條件下，消費者能購買到的X商品和Y商品的各種組合。
商业智能,"商業智慧（Business Intelligence , BI），又稱商業智能或商務智能，指用現代資料倉儲技術、線上分析處理技術、資料探勘和數據展現技術進行數據分析以實現商業價值。 商業智慧的概念經由Howard Dresner（1989年）的通俗化而被人們廣泛瞭解。當時將商業智慧定義為一類由資料倉儲（或資訊市集）、查詢報表、數據分析、資料探勘、數據備份和恢復等部分組成的、以幫助企業決策為目的技術及其應用。 目前，商業智慧通常被理解為將企業中現有的數據轉化為知識，幫助企業做出明智的業務經營決策的工具。這裡所談的數據包括來自企業業務系統的訂單、庫存、交易賬目、客戶和供應商資料及來自企業所處行業和競爭對手的數據，以及來自企業所處的其他外部環境中的各種數據。而商業智慧能夠輔助的業務經營決策既可以是作業層的，也可以是管理層和策略層的決策。 為了將數據轉化為知識，需要利用資料倉儲、線上分析處理（OLAP）工具和資料探勘等技術。因此，從技術層面上講，商業智慧不是什麼新技術，它只是ETL、資料倉儲、OLAP、資料探勘、數據展現等技術的綜合運用。 把商業智慧看成是一種解決方案應該比較恰當。商業智慧的關鍵是從許多來自不同的企業運作系統的數據中提取出有用的數據並進行清理，以保證數據的正確性，然後經過抽取（Extraction）、轉換（Transformation）和裝載（Load），即ETL過程，合併到一個企業級的數據倉庫裡，從而得到企業數據的一個全局視圖，在此基礎上利用合適的查詢和分析工具、數據挖掘工具、OLAP工具等對其進行分析和處理（這時資訊變為輔助決策的知識），最後將知識呈現給管理者，為管理者的決策過程提供支持。"
资产估值,资产估值 ( Asset Valuation ) 是指评估一项投资组合、一家企业、一项投资或资产负债表项目价值的过程。
商业价值,在管理学中，商业价值是个非正式用语，指决定企业长期健康和福利的价值。商业价值把公司价值拓展到经济价值（也称为经济效益，经济附加值和股东价值）以外，包括其他形式的员工价值、客户价值、供应商价值、渠道伙伴价值、战略伙伴价值、管理价值和社会价值。很多价值不是通过金钱衡量的。 商业价值往往包括无形资产，不属于任何股东团体。例如，知识资产和企业的商业模式。平衡计分卡法就是一种常用的衡量、管理商业价值的方法。
買入持有策略,買入持有策略（Buy and Hold）是一個長期的投資策略，它主要是建基在一段時間內儘管金融市場有一定的波動及衰退，但是仍然能給得到一個長期的特定收益率。 與之對立的策略是日內交易，日內交易是指風險資金只會在很短的時間進入市場（如一週甚至於數小時），並且只尋求找出相對的一段大幅度波動作套利。 買入持有策略被一些有效市場理論（EMH）支持者運用，有效市場理論是指證券在任何時間內的價格都是合理的，因為市場是有效而且價格已經反映了一切已知的及內幕消息，所以根本沒有任何空間給予交易者交易行為，為此有人議買之入持有直至要用錢才沽出。 買入持有策略的另一方支持者是那些主要建立在價值投資的理論上的投資者，他們主張用時間去把利潤及企業價值最大化，並且長期持有下一定程度能減少風險。 另外買入持有策略的好上處它能夠大幅減少繁複交易帶來的高佣金、買賣差價及稅務支出的問題。華倫·巴菲特是典型的買入持有策略支持者但是不同意有效市場理論的人。
中央結算及交收系統,中央結算及交收系統（The Central Clearing And Settlement System，缩写为CCASS），簡稱中央結算系統，是一個專為在香港聯交所上市的證券買賣而設的電腦化賬面交收系統；中央結算系統原本的設計只為讓香港交易所轄下的香港中央結算有限公司 ( 結算公司 ) 可向市場中介人士，例如經紀及託管商，提供結算所服務，再由中介人士向其客戶提供結算服務。現時，鑑於投資者希望享有賬面結算及交收系統的優點及對他們的股份擁實質的操控權，個人及公司投資者現在可於中央結算系統開設投資者戶口。 投資者戶口實際上是一個存管股票的戶口。投資者戶口持有人仍須透過經紀或託管商 ( 同時為中央結算系統參與者 ) 進行股份買賣及有關交收 ; 投資者戶口持有人仍要自行管理本身在交收過程中所涉及的交收風險。
資本充足率,資本適足率指商業銀行資本充足程度的比率。 按照《巴塞爾協議》，資本充足率的最低標準為：銀行資本和風險加權的總資產之間比率至少為8 % ，其中核心資本和風險加權的總資產之間比率至少為4 % 。
利差交易,利差交易（Carry Trade），又稱為套息交易或融资套利交易，指在低利率的国家（比如日本）借钱，换成较高利率国家（比如澳洲，紐西蘭）的货币后出贷，赚取利差。 这种套利交易的风险主要来自可能的利率、汇率变化，其次也受有关国家税负成本的影响。依2007年10月24日工商時報的報導，日本野村總合研究所首席經濟學家辜朝明認為日本的低利率是利差交易興盛的源頭，許多投機客借低利日圓炒作金融商品，在國際資本市場形成許多小泡沫，這些泡沫破滅時會形成小型金融危機。 2008年全球金融海嘯時許多借日圓到海外炒作的人將外幣換成日圓還給日本金融機構，造成日圓在日本和全球都不景氣時反而升值的怪現象。
现金循环周期,现金循环周期（英语：cash conversion cycle，简称CCC）是指一家公司从支付现金购买库存起到最终收回销售产品所得的现金为止的天数。现金循环周期可以用来衡量公司的流动性状况。 现金循环周期的计算公式为： == 参考文献 ==
圣保罗中央区,圣保罗中央区（Zona Central de São Paulo）是巴西圣保罗的主要商业区，与自由区和共和国区等接壤。 == 参考文献 ==
財政大臣 ( 英國 ),財政大臣（Chancellor of the Exchequer）是英國內閣中，主管經濟與金融事務之官員職稱，通常簡稱財相（The Chancellor）。財政大臣負責管理女皇陛下財政部，職位相當於其他國家的「財政部長」。財政大臣一般被認為是重大國務官位之一，地位更是僅次於英國首相。 現任財政大臣是夏文達閣下，MP，屬保守黨籍。 在一眾主要官職中，財政大臣是英格蘭與聯合王國兩地，歷史第三悠久的官職。此職最初職掌是管理國庫（Exchequer），而國庫在中世紀英格蘭時代則是負責收集皇家歲入的。直至近代，財政大臣除了主理財政政策外，還負責制定貨幣政策。不過，隨著英倫銀行在1997年取得獨立控制利率的權力以後，財相失去對這方面的權力。另外，財政大臣亦照管政府部門內的公共開支。 財政大臣的英文職稱與大法官（Lord Chancellor）、蘭開斯特公爵領地事務大臣、高等法院大法官法庭庭長（Chancellor of the High Court）與理財法院首席法官（Lord Chief Baron of the Exchequer）相近。
教会税,教会税（德語：Kirchensteuer，丹麥語：Kirkeskat，英语：Church tax，或ecclesiastical Taxation），是对宗教团体的成员征收的一种税，在奥地利、丹麦、芬兰、德国、冰岛、意大利、瑞典、部分瑞士地区以及其他少数国家征收。
中央區 ( 大阪市 ),中央區（日语：中央区／ちゅうおうく Chūō ku */ ? ）是日本大阪市24區的其中之一，也是大阪府府廳的所在地。
除息价格,除息价格或净价、干净价格（英文：Clean price），是在金融中，相对于债券的含息价格而言的，指债券除去应计利息（自上次付息日以来所累积的利息）的价格。 除息价格 = 含息价格 - 应付利息 就长期而言，债券的除息价格相对于其含息价格要更加稳定。一般来说，除息价格如果发生变化，一般是因为经济原因，如利率变化或债券发行者信用的改变。
担保物权,担保物权（英语：collateral；德語：Pfandrecht；法语：sureté réelle；日語：担保物権；留置權）乃为担保债权实现而在一定程度上设定的物权，与用益物权共同被称作限制物权。用益物权的目的在于物的使用价值，而担保物权最终通过将标的物出卖而获得的金钱用于实现债权。担保物权分为根据法律规定而产生的法定担保物权以及根据契约而产生的约定担保物权。在民法上所规定的留置权和优先权属于法定担保物权，而抵押权和质权属于约定担保物权。此外，随着经济活动的多样化，目前出现了让与担保，所有权保留等多种非典型担保方式。 各种担保物权的共性，有附随性，不可分性，物上代位性（留置权无）等性质。
安慰函,安慰函是商业活动中的一类文件，表示一家公司作为商业合同的一方的财务合理性与支持信息。 可由注册会计师声明该公司的招股书依据通行的会计准则没有虚假或误导信息。也可用于提供评价公司的资产，如油气公司的地质储量。 安慰函也可用于子公司的父公司或银行的书面保证以 “ 安慰 ” 客户该公司有能力或愿意偿债。虽然在绝大多数国家安慰函对于合同各方没有法律强制约束力，但是出具安慰函的一方是在使用自己的 “ 商誉 ” 为担保代价。
佣金,佣金或傭金是商業活動中勞務報酬的一種，一般而言是指提供給中介或代理的報酬。而所謂的中間人是指在商業行為中促成交易的角色，例如房地產買賣的仲介商、股票市場的證券所和拍卖行等等。 佣金制度鼓勵中介人多勞多得，向高佣的的生意傾斜。
衝動購物症,Gay
應急可轉債,應急可轉債，（英語：Contingent Convertible Bond （CoCo），也稱作Enhanced Capital Note （ECN）），俗稱CoCo債，是一種金融衍生性商品。
信用風險,信用風險（Credit risk）是指交易對手未能履行約定契約中的義務而造成經濟損失的風險。由於信用風險會對公司或個人的利益產生很大的影響，因此信用風險管理變成很重要的工作，較大的公司常有專門人員，針對各個交易對象的信用狀況作評估來衡量可能的損益以及減低可能的損失。一般而言，風險越高，債務人將被要求償還債務的利率就越高。信用風險主要發生在藉款人無法自願或不情願地支付到期款項時。 信用風險管理，指的是针对交易對手、借款人或債券發行人具有違約「可能性」所產生的風險，進行管理。詳細拆分此風險成分，可以區分成「違約機率」、「違約損失率」、「違約曝險額」。 信用風險管理為目前金融業界的最大課題。除了針對「放款部位」進行信用風險管理外，也需要針對其投資的「交易對手」，或「證券發行者」進行信用風險管理。
