Дефицит 5-альфа-редуктазы,"Дефицит 5-альфа-редуктазы ( также недостаток , блокада ) — аутосомное рецессивное интерсекс-состояние , вызываемое мутацией фермента SRD5A2 , изоформой 5-альфа-редуктазы"
Технология АФИБ,"Технология АФИБ ( AFIB Technology ) , иногда упоминается как Технология Микролайф АФИБ ( Microlife AFIB Technology , от англ"
Патологическая стираемость зубов,"Повышенная стираемость зубов — одна из форм некариозных поражений зубов , патология , при которой наблюдается интенсивная убыль твёрдых тканей"
Страхование от несчастных случаев,"Страхование от несчастных случаев — вид личного страхования . Предназначено для возмещения ущерба , вызванного потерей здоровья или смертью застрахованного"
Ахолия,Ахолия ( греч . : от греч . а « без » и chole « желчь » ) — недостаточное
Акупунктура,"Акупункту́ра ( также иглорефлексотерапи́я , рефлексотерапи́я , иглотерапи́я , иглоука́лывание ; от лат . acus — игла и лат ."
Острый живот,"О́стрый живо́т — симптомокомплекс , отражающий патологическое состояние организма , при котором произошло серьёзное повреждение органов брюшной полости с раздражением"
Комплаентность,"Комплаентность ( от англ . patient compliance ) , приверженность лечению — степень соответствия между поведением пациента и рекомендациями ,"
Нежелательное явление,"Термин нежелательное явление в рамках клинических исследований согласно ICH GCP означает любое неблагоприятное с медицинской точки зрения событие , возникшее"
Эстетическая медицина,"Эстетическая медицина — отрасль индустрии красоты и здоровья , вобравшая в себя все теоретические сведения и практические возможности коррекции внешних"
Агнозия,Агнозия ( от др.-греч . ἀ- — отрицат . частица + γνῶσις — знание ) — нарушение различных видов восприятия
Агонист,"Агонист — химическое соединение ( лиганд ) , которое при взаимодействии с рецептором изменяет его состояние , приводя к биологическому"
Аллопатия,"Аллопа́тия ( от греч . ἄλλος « другой , иной » + πάϑος « страдание , болезнь » ) —"
Альтернативное лечение рака,"Альтернативное лечение рака — собирательное название для разнообразных методов альтернативной медицины , направленных на излечение злокачественных опухолей . Также к"
Нетрадиционная медицина,"Нетрадиционная медицина , Альтернативная медицина или Парамедицина — собирательное название методов , претендующих на способность лечить ( или предупреждать )"
Деамбулаторий,Деамбулаторий ( от лат . deambulo из лат . de « за » и лат . ambulo « ходить »
Пространственные отношения в анатомической терминологии,"В анатомической терминологии существуют особые термины для точного описания расположения частей тела , органов и других анатомических образований в пространстве"
Синдром нечувствительности к андрогенам,"Синдро́м нечувстви́тельности к андроге́нам ( синдро́м резисте́нтности к андроге́нам , синдром Морриса , синдром тестикуля́рной феминиза́ции ; англ . Androgen"
Анестезиология,"Анестезиология ( др.-греч . ἀν- — отрицательная приставка , αἴσθησις — чувствительность и λόγος — учение ) — раздел клинической"
Укус,"Укус — вонзание зубов , сдавливание зубами или челюстями . Ужаления и укусы насекомых производятся жалом . Животные могут укусить"
Анорхизм,Анорхизм ( др.-греч . ἀν- — отрицательная приставка + ὄρχις — яичко ; синоним — анорхия ) — аномалия развития
Антибиотикорезистентность,Антибио́тикорезисте́нтность ( от антибиотик и резистентность ) — фено́мен устойчивости штамма возбудителей инфекции к действию одного или нескольких антибактериальных препаратов
Аплазия,"Аплазия ( греч . « а » — не , отрицание + « plasia » — формирование , образование )"
Апоптоз,Апопто́з ( др.-греч . ἀπόπτωσις « листопад » от ἀπό- + πτωσις « падение » ) — регулируемый процесс программируемой
Яблочный уксус,"Я́блочный у́ксус — уксус , получаемый микробиологическим методом из яблочного сырья . Яблочный уксус обладает гораздо более богатым вкусом и"
Дефицит ароматазы,"Дефицит ароматазы — очень редкое состояние , характеризующиеся крайне низкой или отсутствием активности фермента ароматазы в организме . Это аутосомно-рецессивное"
Ароматерапия,"Аро́матерапи́я — разновидность альтернативной медицины , в которой используются полезные свойства растительных эфирных масел . Используется в салонах красоты и"
Укусы членистоногих,"Укусы членистоногих — нападение членистоногих на человека , выражающееся в уколах , ужалении , укусах . Эктопаразитические и ядовитые членистоногие"
Асинергия,"Асинергия ( от др.-греч . ἀ- — приставка со значением отсутствия и др.-греч . συνεργία , от др.-греч . συν"
Асистолия,"Асистоли́я ( от др.-греч . ἀ- — « не » , « нет » и « систола » ) —"
Атония,Атони́я ( др.-греч . ἀτονία « расслабленность » ; от ἀ « без ; не » + τόνος « напряжение
Атрезия,Атрезия — врождённое отсутствие или приобретенное заращение естественных отверстий и каналов в организме . В большинстве случаев атрезия имеет характер
Клеточный атипизм,"Клеточный атипизм — свойство злокачественных опухолевых клеток , приводящее к утрате этими клетками первоначальной тканевой специфичности , резкому понижению способности"
Аура ( симптом ),"А́ура ( др.-греч . αὔρα — легкий ветерок , дуновение ) ( « парциальный » ( фокальный , не развёрнутый"
Аутоиммунные заболевания,Аутоимму́нные заболева́ния ( от αὐτός [ authos ] « сам ; он самый » ) — это класс разнородных по
Вскрытие,"Вскры́тие ( аутопси́я , некропси́я , се́кция ) ( лат . Sectio – разрезание ) — патолого-анатомическая или судебно-медицинская процедура"
Шкала Баллард,"Шкала Баллард , оценка Баллард — методика оценки гестационного возраста новорождённых . Оцениваются различные критерии , по которым затем экстраполируется"
Доброкачественная опухоль,"Опухоли ( лат . Tumoris ) — патологические образования , возникающие вследствие нарушения механизмов контроля деления , роста и дифференцировки"
Биомедицина,"Биомедици́на , также называемая теоретической медициной — раздел медицины , изучающий с теоретических позиций организм человека , его строение и"
Методы экологического мониторинга,"В зависимости от точности результатов , которые необходимо получить при проведении мониторинга по тому или иному компоненту , явлению ,"
Биостратономия,Биостратономия ( биостратиномия ) ( греч . bios — « жизнь » + лат . stratum — « слой »
Смерть мозга,"Смерть мо́зга — состояние , когда происходит гибель головного мозга , при этом с помощью реанимационных мероприятий искусственно поддерживается функция"
Смерть мозга,"Смерть мо́зга — состояние , когда происходит гибель головного мозга , при этом с помощью реанимационных мероприятий искусственно поддерживается функция"
Труп,"Труп — мёртвое тело животного , в том числе человека ."
Кальциноз,"Кальциноз — это формирование отложений солей кальция в любых мягких тканях или органах , в которых соли в нерастворённом состоянии"
Конкременты,"Конкремент ( от лат . concrementum — скопление , срастание ) — камни , плотного образования , встречающиеся в полостных"
Кардиотокография,Кардиотокография ( КТГ ) — непрерывная синхронная регистрация частоты сердечных сокращений ( ЧСС ) плода и тонуса матки с графическим
Апофиз,"Апо́физ ( apophysis , PNA , BNA ; от греч . αποφυσις , отросток ) — возникший из самостоятельного ядра"
Этиология,"Этиоло́гия ( греч . αἰτία « причина » + др.-греч . λόγος « слово , учение » ) — раздел"
Причина смерти,"Причина смерти — заболевание , травма или другое состояние , непосредственно приведшие к смерти человека . Явление , которое объективно"
Причины психических расстройств,"Эксперты Американской психиатрической ассоциации определяют психические расстройства как « клинически значимое поведение человека или в широком понимании заболевание души ,"
Центральное венозное давление,Центральное венозное давление ( central venous pressure ) — давление крови в правом предсердии . Измеряется при помощи вводимого катетера
Церебральное перфузионное давление,"Церебральное перфузионное давление ( сокращенно ЦПД ) — физиологический показатель , характеризующий уровень перфузии ( кровоснабжения ) головного мозга живых"
Химера ( биология ),"Химера — организм , состоящий из генетически разнородных клеток . У животных химерами называют организмы , клетки которых происходят от"
Клиническая смерть,"Клини́ческая смерть — обратимый этап смерти , переходный период между жизнью и биологической смертью . На данном этапе прекращается деятельность"
Клиноморфизм,"Клиноморфизм ( др.-греч . κλινικός — « кровать » и др.-греч . -μορφος , от μορφή — « форма »"
Клиторомегалия,Клѝторомегали́я ( ма̀крокли́тор ) — патологическое стабильное увеличение наружной части клитора ( не следует путать с вре́менным физиологическим увеличением клитора
Принудительная стерилизация,"Принудительная стерилизация — государственная программа , которая принуждает людей пройти хирургическую или химическую стерилизацию . В первой половине XX века"
Врождённая гиперплазия коры надпочечников,"Врождённая гиперплазия коры надпочечников ( ВГКН ) — группа заболеваний , наследуемых по аутосомно-рецессивному пути , при которых нарушается выработка"
Врождённая гиперплазия коры надпочечников вследствие недостаточности 11-бета-гидроксилазы,"Врождённая гиперплазия коры надпочечников вследствие недостаточности 11-бета-гидроксилазы - одно из группы заболеваний , связанных с недостаточной функцией ферментов стероидогенеза и"
Врождённая гиперплазия коры надпочечников вследствие недостаточности 3-бета-гидроксистероиддегидрогеназы,"Врождённая гиперплазия коры надпочечников ( ВГКН ) вследствие недостаточности 3 бета-гидроксистероиддегидрогеназы - одно из группы заболеваний , связанных с недостаточной"
Выздоровление,"Выздоровление — особое состояние организма , наступающее после окончания какого-либо болезненного процесса и продолжающееся до полного восстановления нормального питания и"
Конверсия культуры,"Конверсия культуры — диагностический критерий , определяющий момент , после которого образцы мокроты , взятые у пациента больного туберкулёзом ,"
Дефицит цитохрома P450 оксидоредуктазы,"Дефицит цитохрома P450 оксидоредуктазы ( англ . Cytochrome P450 oxidoreductase deficiency , PORD ) — редкое заболевание и врожденная ошибка"
Мёртв по прибытии ( медицинский термин ),"Мёртв по прибытии ( англ . Dead on arrival ( DOA ) , brought in dead ( BID ) )"
Ненасильственная смерть,"Ненасильственная смерть — это категория смерти , характеризующая смерть , которая наступает в результате какого-либо заболевания : соматического , инфекционного"
Декомпенсация,"Декомпенса́ция ( от лат . de… — приставка , обозначающая отсутствие , и compensatio — уравновешивание , возмещение ) —"
Деинституционализация психиатрии,"Деинституционализа́ция психиатрии — процесс реформирования психиатрической службы , начавшийся в ряде западных стран в 50-х годах XX века . Заключается"
Диагноз,"Диáгноз ( греч . διάγνωσις , лат . diagnosis « распознавание » ; от dia « врозь » + gnosis"
Диатез,"Диатез ( греч . diáthesis , предрасположение ) — наследственная предрасположенность человеческого организма к возникновению определённых патологических реакций или заболеваний"
Дифференциальная диагностика,"Дифференциа́льная диагно́стика ( от лат . differentia « разность » , « различие » ) в медицине — способ диагностики"
Болезнь,"Боле́знь ( лат . morbus ) — это состояние организма , выраженное в нарушении его нормальной жизнедеятельности , продолжительности жизни"
Дивертикул,Диве́рти́кул ( от лат . diverticulum — дорога в сторону ) — врожденное или приобретенное слепо заканчивающееся выпячивание стенки полого
Дискразия,"Дискразия ( от др.-греч . δυσκρασία , « неправильное смешение » ) — концепция , разработанная во II веке н."
Дистрофия,"Дистрофия ( др.-греч . dystrophe , от dys… — приставка , означающая затруднение , нарушение , и trophe — питание"
Кинезио тейп,"Кинезио тейп ( Кинезиотейп ) — эластичная лента из хлопка на клейкой основе , использующаяся в спортивной медицине и реабилитации"
Красный Кристалл,Красный Кристалл — одна из трёх эмблем Международного Движения Красного Креста и Красного Полумесяца . Международное Движение имело две общепризнанные
Эмпиема,"Эмпие́ма ( греч . ἐμπύημα — гнойник ) — значительное скопление гноя внутри полого органа или полости тела , вследствие"
Эндогенный агонист,"В фармакологии , физиологии и биохимии , термин эндогенный агонист по отношению к определённому подтипу клеточных рецепторов обозначает химическое соединение"
Эпифеномен,"Эпифеномен ( др.-греч . επι — « при , после , возле » и φαινόμενον — « являющееся » )"
Эпизоотология,"Эпизоотология ( от гр . Epi - на , zoon - животное , logos - наука , понятие ) ,"
Суточная рН-метрия,Су́точная рН-метри́я ( 24-х часова́я рН-метри́я ) — длительная ( до нескольких суток ) внутрижелудочная рН-метрия в нескольких точках верхних
Синдром нечувствительности к эстрогенам,"Синдром нечувствительности к эстрогенам ( англ . Estrogen insensitivity syndrome , EIS ) — форма врожденного дефицита эстрогена или гипоэстрогенизм"
Исцеление верой,"Исцеление верой ( а также исцеление молитвой , божественное исцеление ) — доктрина , утверждающая возможность сверхъестественного физического исцеления от"
Системно-семейные расстановки,"Системно-семейные расстано́вки ( « расстановки по Хеллингеру » , « семейные расстановки » ) — псевдонаучная теория в области психологии"
Федеральный фонд обязательного медицинского страхования,"Федеральный фонд обязательного медицинского страхования ( ФФОМС ) — один из государственных внебюджетных фондов , созданный для финансирования медицинского обслуживания"
Ферроптоз,"Ферропто́з ( англ . ferroptosis ) — тип программируемой окислительной некротической гибели клетки , характерной особенностью которого является железо-зависимое перекисное"
Фиброз,"Фибро́з ( лат . fibrosis ) — разрастание соединительной ткани с появлением рубцовых изменений в различных органах , возникающее ,"
Свищ,"Свищ , или фи́стула ( от лат . fistula « трубка » ) , — канал , соединяющий полости тела"
Folding @ home,"Folding @ Home ( F @ H , FAH ) — проект распределённых вычислений для проведения компьютерного моделирования свёртывания молекул"
Фомиты,"Фоми́ты ( англ . - fomite ) — любые предметы или субстанции , содержащие патогенные микроорганизмы , такие как паразиты"
Криминалистическая экспертиза,"Криминалистическая экспертиза — вид судебной экспертизы , которая исследует следы — улики , оставляемые людьми и вещами для решения идентификационных"
Распределение Гомпертца,"Закон смертности Гомпертца — Мейкхама ( иногда просто Закон Гомпертца , Распределение Гомпертца ) — статистическое распределение , которое описывает"
Символдрама,"Символдрама ( кататимно-имагинативная психотерапия , кататимное переживание образов , метод « сновидений наяву » ) ( от греч . symbolon"
Медицинское страхование,"Медицинское страхование — форма страхования здоровья человека , которая покрывает часть расходов вызванных страховым случаем , консультацией с врачом или"
Гипогонадизм,"Гипогонадизм ( мужской ) — недостаточность яичек , сопровождающаяся снижением уровня половых гормонов и характерными клиническими проявлениями , обусловленная органической"
ISO 13485,"ISO 13485:2003/ГОСТ Р ИСО 13485-2004 — это международный отраслевой стандарт , разработанный Международной организацией по стандартизации ISO . Текущая версия"
Идиосинкразия,"Идиосинкрази́я ( от греч . ίδιος — своеобразный , особый , необычайный и σύγκρασις — смешение ) — генетически обусловленная"
Импедансометрия пищевода,"Импедансометри́я пищево́да — диагностическая процедура , основанная на измерении на переменном токе импедансов между несколькими электродами , расположенными на специальном"
Инфильтрат,Инфильтра́т ( от лат . in — в ; filtratus — процеженный ) — скопление в тканях организма клеточных элементов
Интернатура,"Интернату́ра ( лат . internus —внутренний ) первичная последипломная специализация выпускников институтов по одной из врачебных профессий , проводимая после"
Инволюция ( биология ),"Инволю́ция ( от лат . involutio — свёртывание ) — редукция или утрата в процессе эволюции отдельных органов , упрощение"
Необратимая электропорация ( Нанонож ),"Необратимая электропорация ( Нанонож ) — представляет собой метод абляции мягких тканей , использующий нетепловую энергию в виде коротких микросекундных"
Камера сенсорной депривации,"Камера сенсорной депривации , или флоатинг-капсула ( англ . float — свободно плавать , держаться на поверхности ) — камера"
Свидетели Иеговы и переливание крови,Свидетели Иеговы известны по всему миру своим отказом от переливания крови даже под угрозой наступления смерти в случае невыполнения этой
"Мани , Джон Уильям","Джо́н Уи́льям Ма́ни ( англ . John William Money , 8 июля 1921 , Моринсвиль , Новая Зеландия — 7"
Синдром Клайнфельтера,Синдром Клайнфельтера — наследственное заболевание . Клиническая картина синдрома описана в 1942 году в работах Гарри Клайнфельтера и Фуллера Олбрайта
Чайный гриб,Чайный гриб ( также японский или маньчжурский гриб ) — обобщающее название нескольких разновидностей симбиоза дрожжевого гриба с бактерией .
Липоидная врождённая гиперплазия надпочечников,"Липоидная врождённая гиперплазия надпочечников - одна из форм врождённой гиперплазии надпочечников , при которой нарушен начальный этап стероидогенеза . Название"
Список кодов МКБ-9,
Проект : Биология/Список клинически важных бактерий,== A == Acetobacter aurantius Acinetobacter baumannii Actinomyces israelii Agrobacterium radiobacter Agrobacterium tumefaciens Azorhizobium caulinodans Azotobacter vinelandii Anaplasma Anaplasma phagocytophilum
