美國材料和試驗協會,ASTM国际标准组织（英语： ASTM International，简称ASTM），是国际标准化组织，它是制定、发布自愿共识的有关材料、产品、系统和服务的技术标准。组织的总部设在美国宾夕法尼亚州的西康舍霍肯，大约在费城西北的5英里（8公里）处。
主动搜寻地外文明计划,搜尋外星高智生命活動 ( Active Search for Extra-Terrestrial Intelligence ) ，是嘗試寄發訊息給有智慧的外星人的活動，現行的搜尋外星高智生命訊息通常都是無線電的形式，不過實體的訊息，像是先鋒飾板，也算是發給SETI的一則活動訊息。給外星高智生物的訊息 ( Messaging to Extra-Terrestrial Intelligence，METI ) ，也是搜尋外星高智生物活動的一種，通常被稱為積極的SETI。相對於積極的SETI，一般所知的SETI只是搜尋來自外太空的訊息，並沒有嘗試送出訊息。 METI的定義由蘇聯的科學家亚历山大·列昂尼多维奇·扎伊采夫主導，它明確的區分了SETI的活動和METI的差異： 科學家所謂的SETI只是搜尋外星人的訊息，METI則是創造訊息發送給外星人，因此SETI和METI的擁護者有著相當不同的觀點。SETI的科學家們只侷限在是否有外星人在這個區域活動？。換言之，它是合理的，SETI若成功，只是翻譯出外星人傳送的訊息。相對於SETI的活動，METI不是侷限在宇宙的一嶼，而是更遠大的目標 － 克服宇宙無盡的沉默，將我們的存在告知長久以來就存在的有智慧的鄰居
汽轉球,汽轉球（英语：aeolipile）是已知最早以蒸氣發動的機器，在公元一世紀時由亚历山大港的希罗（Hero of Alexandria）發明。 在希羅之前，維特魯威（Vitruvius）在《建築十書》（De Architectura）中已提到一種空心並有小開口的黃銅容器，注入水後再用火燒來研究蒸氣。當時他已用「æolipylæ」這個字。汽轉球主要是由一個空心的球和一個裝有水的密閉鍋子以兩個空心管子連接在一起，而在鍋底加熱使水沸騰，鍋中的蒸氣就通過管子進入球中，最後蒸氣會由球體的兩旁噴出並使得球體轉動。 詳細建構圖在希羅的《氣體力學》（Pneumatics）中有描述。汽轉球純粹是一種新奇的玩物，並未予以任何實際應用。
阿庫別瑞引擎,阿庫別瑞度規（英语：Alcubierre metric），是一項推敲性的時空數學模型，被廣泛地認知為「阿庫別瑞引擎」（英语：Alcubierre drive）。美国科幻作品《星际迷航》中稱之爲「曲速引擎」 ( 英语：Warp drive），作为超光速星際旅行的工具。「曲速引擎」這個别稱也會出現在物理學的期刊論文之中。中國科幻文學《三體》中，稱之爲「曲率引擎」，是驱动太空船以光速飞行的发动机。 阿庫別瑞引擎遵守廣義相對論中愛因斯坦方程式，在這範疇下建立出一項特別的時空度規。物理學家米給爾·阿庫別瑞於1994年提出了波動方式展延空間，導致航行器（簡稱為「船」）前方的空間收縮而後方的空間擴張，前後所連成的軸向即為船想要航行的方向。船在一個區間內乘著波動前進，這區間稱為「曲速泡」，是一段平直時空。既然船在泡泡內並不真的在移動，而是由泡泡帶著船走，廣義相對論中對於物體速度不可超過局域光速的限制就派不上用場。雖然阿庫別瑞提出的度規在數學上是可行的（符合愛因斯坦的場域等式），但其計算結果可能沒有物理學上的意義，也不一定表示真的能夠建造這種裝置。阿庫別瑞引擎的假想機制暗示了負的能量密度，因此需要奇異物質才能使用。所以如果正確性質的奇異物質並不存在，則阿庫別瑞引擎就不能被建造出來。然而，在當初發表的論文上，阿庫別瑞聲稱（接著一段物理學家分析蟲洞旅行的論述之後）兩個平行的板子之間產生的卡西米爾真空可以滿足阿庫別瑞引擎的負能量需求。另一個問題是雖然阿庫別瑞度規沒有違反廣義相對論，但廣義相對論並沒有包含量子力學的機制。一些科學家因此認為，阿庫別瑞引擎理論上允許回到過去的時間旅行，雖然廣義相對論理論上也允許回到過去的時間旅行，但結合了量子力學和廣義相對論的量子重力理論指出這種時間旅行是不可能的（見時序保護猜想），因此他們否定阿庫別瑞引擎的可能性。
美國國家標準協會,美国国家标准学会（American National Standards Institute，ANSI）是负责制定美国国家标准的非营利组织。美国国家标准学会授权标准起草机构按照一系列规范编写标准草案。由此产生的候选文献通过ANSI审核批准后成为美国国家标准。 美国国家标准学会是国际标准化组织和国际电工委员会的成员。
古埃及科技,古埃及科技记录的是古埃及人的发明和使用的工具。古埃及人发明使用了很多简单机械，如斜坡、杠杆，用于辅助建筑。他们使用繩桁架加强船的船宽。古埃及的纸称之为莎草纸，他们大量生产陶器并出口到地中海。轮子被用于多种目的，但馬戰車直到第二中间时期才被使用。航海科技包括造船和灯塔。
古希腊科技,古希臘科技在公元前5世紀以前所未有的速度發展，一直持續到包括羅馬時期及其後。有記載的古希臘人的發明，包括齒輪，螺紋，旋轉廠，螺旋壓力機，青銅鑄造技術，水脈，水的器官，扭轉彈射器，蒸汽使用的一些實驗操作的機器和玩具，也找到一些圖表素數。許多發明後期發生在希臘時期，通常是受到在戰爭中的武器和戰術的啟發。他們把測量和數學推到了先進的水平，也出了很多英雄，包括哲學家阿基米德。
反核運動,反核运动是一个反对核能应用的社会运动。在各區域與國際上，都有直接行動團體、環保團體或专业人士组织參與反核運動。较大的此种组织有国际防止核战争医生组织、核裁军运动、地球之友、绿色和平等。这场运动最初的目的是促成核裁军，但现在，运动的重点已转向了反对核動力。
反核運動,反核运动是一个反对核能应用的社会运动。在各區域與國際上，都有直接行動團體、環保團體或专业人士组织參與反核運動。较大的此种组织有国际防止核战争医生组织、核裁军运动、地球之友、绿色和平等。这场运动最初的目的是促成核裁军，但现在，运动的重点已转向了反对核動力。
Apple Watch Series 2,Apple Watch Series 1/ Series 2是第二代的Apple Watch，在2016年的9月8日發布。 Apple Watch Series 2使用Apple S2處理器，相較於Apple Watch Series 1及Apple Watch ( 第一代，俗稱S0 ) ，Apple
Apple Watch Series 3,Apple Watch Series 3是第三代的Apple Watch，在2017年的9月12日發布。 Apple Watch Series 3，相較於第一代暨第二代的機種，第三代新增了行動網路連接功能。
应用程序接口,应用程序接口（英语：application programming interface，缩写作 API），又称为应用编程接口，就是软件系统不同组成部分衔接的约定。由於近年來软件的规模日益庞大，常常需要把复杂的系统划分成小的组成部分，编程接口的设计十分重要。程序设计的实践中，编程接口的设计首先要使软件系统的职责得到合理划分。良好的接口设计可以降低系统各部分的相互依赖，提高组成单元的内聚性，降低组成单元间的耦合程度，从而提高系统的可维护性和可扩展性。
应用物理学,應用物理學（applied physics）指的是針對實際用途而進行的物理研究。
阿雷西博信息,"阿雷西博信息（Arecibo Message），是於1974年，為慶祝阿雷西博射電望遠鏡完成改建，而創作的無線電信息，並以距離地球25,000光年的球狀星團M13為目標，把信息透過該望遠鏡射向太空。該信息共有1,679個二進制數字 ( ASCII ) ，而且1,679這個數字只能由兩個質數相乘，因此只能把信息拆成73條橫列及23條直行，這是假設該信息的讀者會先將它排成一個長方形。如果把它排成23條橫列，它會變成白色雜訊 [ 1 ] ，相反如果把它排成73條橫列，便可排出圖中的一幅信息。"
強人工智慧,強人工智慧 ( Strong AI ) 或通用人工智慧 ( Artificial General Intelligence ) 是具備與人類同等智慧、或超越人類的人工智慧，能表現正常人類所具有的所有智能行為。
人工智能,人工智能（英语：Artificial Intelligence，缩写为 AI）亦稱機器智能，指由人製造出來的機器所表現出來的智能。通常人工智能是指通過普通電腦程式來呈現人類智能的技術。該詞也指出研究這樣的智能系統是否能夠實現，以及如何實現。同时，有些預測則認為人類的無數職業也逐漸被其取代。人工智能在一般教材中的定义领域是 “ 智慧主体（intelligent agent）的研究与设计 ” ，智慧主体指一个可以观察周遭环境并作出行动以达致目标的系统。约翰·麦卡锡于1955年的定义是「制造智能机器的科学与工程」。安德里亚斯•卡普兰（Andreas Kaplan）和迈克尔•海恩莱因（Michael Haenlein）将人工智能定义为 “ 系统正确解释外部数据，从这些数据中学习，并利用这些知识通过灵活适应实现特定目标和任务的能力 ” 。人工智能的研究是高度技术性和专业的，各分支领域都是深入且各不相通的，因而涉及範圍極廣。人工智能的研究可以分为几个技术问题。其分支领域主要集中在解决具体问题，其中之一是，如何使用各种不同的工具完成特定的应用程序。 AI的核心问题包括建構能夠跟人類似甚至超越的推理、知识、规划、学习、交流、感知、移动和操作物体的能力等。人工智能目前仍然是该领域的长远目标。目前強人工智慧已經有初步成果，甚至在一些影像辨識、語言分析、棋類遊戲等等單方面的能力達到了超越人類的水平，而且人工智慧的通用性代表著，能解決上述的問題的是一樣的AI程式，無須重新開發算法就可以直接使用現有的AI完成任務，與人類的處理能力相同，但達到具備思考能力的統合強人工智慧還需要時間研究，比较流行的方法包括统计方法，计算智能和传统意义的AI。目前有大量的工具应用了人工智能，其中包括搜索和数学优化、逻辑推演。而基於仿生學、認知心理學，以及基于概率论和经济学的演算法等等也在逐步探索當中。 思维来源于大脑，而思维控制行为，行为需要意志去实现，而思维又是对所有数据采集的整理，相当于数据库，所以人工智能最后会演变为机器替换人类。
人工子宮,人工子宮（或人造子宮；英语：Artificial uterus ; 或英语：Artificial womb），是一種設想中的技術設備，模擬女性子宮的環境，孕育胎兒，從而達至真正的無痛生育繁殖的效果。
辅助全球卫星定位系统,辅助全球卫星定位系统（英语：Assisted Global Positioning System，简称：AGPS）是一种在一定辅助配合下进行GPS定位的运行方式。它可以利用手机基站的信号，配合传统GPS卫星信号，让定位的速度更快。一般GPS使用太空中的24颗人造卫星来进行三角定位 ，以获得经纬度坐标，通常需要一个可视天空的开放环境和至少4颗GPS卫星信号才能进行3D定位。AGPS则利用手机基站的信号，辅以连接远程服务器的方式下载卫星星历 ( 英语：Almanac Data ) ，可再配合传统的GPS卫星接受器，让定位的速度更快。 普通的GPS系统是由GPS卫星和GPS接收器组成。与普通的GPS不同，AGPS在系统中还有一个辅助服务器。在AGPS网络中，接收器可通过与辅助服务器的通信而获得定位辅助。在蜂窝移动通信系统中，AGPS 系统通过手机定位服务器作为辅助服务器来协助GPS接收器（通常是手机）完成测距和定位服务，辅助定位服务器有比GPS接收器强大得多的GPS信号接收环境和能力，在这种情况下，辅助定位服务器通过网络与手机的GPS接收器通信而提供定位协助。 通常情况下，一个标准的GPS接收器需要至少3颗GPS卫星才能进行2D定位。另外，还需要有足够的处理能力来把卫星的数据转换成坐标，使用AGPS定位方式，定位的计算任务都由辅助定位服务器完成。
姿态指引仪,姿态指引仪（英语：attitude indicator，缩写AI），也称姿态指示器、陀螺地平仪（gyro horizon）、人工地平仪（artificial horizon）、姿态方位仪、姿态指引指示器（attitude director indicator，ADI，限于有飞行指引器的情况），是飞机上向飞行员报告飞机相对于地平线姿态的一种飛行儀表。它示明飞机的俯仰（前后倾斜）和偏转（向一侧倾斜）状况，是飞机在仪表气象条件下飞行的主要工具。
自動識別系統,自動識別系統（Automatic Identification System，AIS），是安裝在船舶上的一自動追蹤套系統，藉由與鄰近船舶、AIS岸台、以及衛星等設備交換電子資料，並且供船舶交通通管制（VTS）辨識及定位。當衛星偵測到AIS訊號，則會顯示S-AIS。AIS資料可供應到海事雷達，以優先避免在海上交通發生碰撞事故。 由AIS所發出的訊息包括獨特的識別碼、船名、位置、航向、船速，並顯示在AIS的螢幕或電子海圖上。AIS可協助當值船副以及海事主管單位追蹤及監視船舶動向。AIS整合了標準的VHF傳送器以及由GPS或LORAN-C接收器所提供的位置訊息，以及其他的電子航海設施，例如電羅經或是舵角指示器。船舶裝有AIS收發機和詢答機時，可以被AIS岸台所追蹤。或者當遠離海岸過遠時，可藉由特別安裝的AIS接收器，經由相當數量的衛星以便從龐大數量的信號中辨識船位。 國際海事組織中《國際海上人命安全公約》（SOLAS）要求航行於國際水域，總噸位在300以上之船舶，以及所有不論噸位大小的客船，均應安裝AIS。
自動跳脫,自動跳脫是指像安全儀表系統、可编程逻辑控制器、分散控制系統之類的系統，讓工業程序切換到一安全狀態的行為。自動跳脫是因為參數數值落入事先定義的危險區而觸發。因為跳脫多半會伴隨製程的中斷以及衍生的費用，因此在自動跳脫前，多半會有警示訊號告知操作員設法修正問題，以避免系統真的跳脫。
基本英语,基本英语（英语：Basic English）是一種人工語言，它基於英語的一種簡化版本而產生，由查尔斯·凯·奥格登創造。在他於1930年所出版的《基本英语——规则和语法的一般约定》一書中有詳細的介紹。 奥格登说：「学习英语要7年，学习世界语要7个月，而学习基本英语只要7星期。」因此，商業公司會將艱澀難懂但需要全球使用的文書寫成基本英語；而语言学校也會為了讓學生短期內學會簡單的英語，而教授基本英语。 奥格登不使用重复意义的单词，而且需要所有国家都适用这些单词。他利用大规模的测试和调整来得到这些词汇。在语法方面，他也做了简化，但是保留了英语通常的用法。 在第二次世界大战後，这种简化开始蕴含「推进世界和平」的理念。但是由于缺乏规划，发展出了不同地方使用的简化版本。今天还存在的基本英语有850个单词作为初学英语者的单词词汇广传世界，特别是在亚洲最流行。
哈佛大学伯克曼互联网与社会研究中心,哈佛大学伯克曼互联网与社会研究中心是全球互联网相关研究重镇，集教授、访问学者、法律工作者以及业内人士在内的多元研究力量，专业从事涵盖社会、文化、技术、商业以及政策等多个领域的问题研究，隶属于哈佛大学法学院，由乔纳森·齐特林于1997年创立，其创立初衷是为了探索和推动网络空间研究，致力于研究网络空间与现实社会的边界，2008年升格为校级研究机构，是世界上较为活跃和颇负盛名的互联网研究机构。
缸中之脑,"缸中之脑（英语：Brain in a vat），又稱桶中之腦（brain in a jar），是知识论中的一个思想实验，由哲學家希拉里·普特南在《理性、真理和历史》（Reason , Truth , and History）一书中提出。 实验的基础是人所体验到的一切最终都要在大脑中转化为神经信号。假设一个疯子科学家、机器或其他任何意识将一个大脑从人体取出，放入一个裝有营养液的缸里维持着它的生理活性，超级计算机通过神经末梢向大脑传递和原来一样的各种神经电信号，并对于大脑发出的信号给予和平时一样的信号反馈，则大脑所体验到的世界其实是计算机製造的一种虚拟现实，則此大腦能否意识到自己生活在虚拟现实之中？ 这个思想实验常被引用來论证一些哲学，如知识论、怀疑论、唯我论和主观唯心主义。一个简单的论证如下：因为缸中之脑和头颅中的大脑接收一模一样的信号，而且这是他唯一和环境交流的方式，从大脑中角度来说，它完全无法确定自己是颅中之脑还是缸中之脑。如果是前者，那它的想法是正确的，他确实走在大街上或者在划船。如果是后者，那它就是错误的，它并没有在走路或划船，只是接收到了相同的电信号而已。一个大脑无法知道自己是在颅中还是缸中，因此这世间的一切可能都是虚假的、虚妄的。那么什么是真实？ 从生物学的角度讲，个体对于客观存在的认知或判别取决于他所接收的刺激，假设缸中脑生成一系列 “ 测试用 ” 反应用于检测自身的认知，同时 “"
洗腦,洗脑或思想控制（英语：brainwashing 或 mind control），透過系統性方法，有意圖地向別人灌輸思想，來符合操縱者的意願，一連串的手法與過程，稱為洗脑。英文「brainwash」意指洗脑，由中文洗脑一詞翻譯而來；沿於上世紀1950年代的朝鲜战争，美國士兵被中国人民志愿军俘虜之後，接受中国共产党的思想改造，獲救之後回到美國，支持中国共產黨政府，於是美國記者Edward Hunter就用「brainwash」一詞來描述此事。洗脑經常被應用到政治、宗教、商业活動上。洗腦與宣傳大體方法相同，均是讚揚、推廣某事，不同之處在於，洗腦具有強制持續性、與外隔絕性、批判性等特點。常見如政治洗脑：當權者或獨裁者強制向人民灌輸單一的思想，推崇某政治人物或某執政集團，及指出某些思想是錯誤的，加以批判。在重複和密集灌輸下，群眾往住不自覺相信了某事或信任某個政治組織；宗教組織透過刊物、活動推廣，造成觀眾思想容易受到影響；商業公司等電視媒體傳達，不斷重複播放推廣其商品或意念，以「謊言多說幾次，就會成為真理」方式，此等宣傳方法都被認為是洗脑，儘管推廣者本身可能沒有非法惡意情事。不過通常惡質的思想，都加予洗腦的貶稱。思想改造能導致群眾有跟從團體、不可質疑、思想推廣、護航言論的一致行為逐步出現。
拼裝,拼裝（bricolage）此概念最初是由社會人類學家克勞德·李維史陀（Claude Lévi-Strauss）在1962年所出版的著作《野性的思维》中所提出。他認為修補匠和原始人類解決問題的方法類似：修補匠喜歡凡事自己動手做，並且會運用手邊現有的工具和材料來完成工作；而當原始人類面對未曾遇過的問題時，並不會想出新的概念來解決，而是會重新組合並修改現有的方法，以適應這些新的狀況。研究其他學科的思想家與作家也會借用拼裝的概念，討論創意藝術家、教師以及其他人士是如何修改現存的想法、材料和做法，並再加以運用，以應付新的狀況。借用此概念的學科包括教育、藝術理論、法律，以及經濟學。 == 參考資料 ==
巴克敏斯特·富勒,巴克敏斯特·富勒（Richard Buckminster Fuller，1895年7月12日－1983年7月1日），美國哲學家、建築師及發明家 。曾在1946年取得戴美克森氏投影法的專利。 富勒發表超過30本書，發明和普及的詞彙，他還開發了眾多的發明，主要是建築設計，最著名的是在球型屋頂。富勒烯也是其形狀類似富勒的球型屋頂而得名。
巴萨德冲压发动机,巴萨德冲压发动机（Bussard ramjet）是1960年代物理学家罗伯特·巴萨德（Robert W. Bussard）所构想的一种理论航天器推进設計，並因為在拉瑞·尼文（Larry Niven）所著系列叢書《已知宇宙》（Known Space）中被提及而廣為所知。除此之外，此概念也曾在卡尔·萨根的科普電視影集《宇宙》（Cosmos : A Personal Voyage）中被提及。 这种推进器是一种核聚变冲压发动机，它利用巨大的电磁场（直徑從數公里至數千公里不等）作为漏斗来收集並壓縮星际物质中的氢，飛行器的高速將待反應物質強迫推入磁場中，直到壓縮的程度到達足以發生核聚变。物質轉變之後產生的巨大能量透過磁場導引至發動機的排氣方向（其方向與預計的行進方向顛倒），並透過反作用力的原理推進飛行器加速前進，而達到星際飛行的目的。
性愛機械人,性愛機械人（英语：Sex robot、sexbots）是一種機器人性玩偶，其旨在以模拟一名人類性伴侣的方式來滿足使用者的性需求。截至2018年，市面还没出現一款具備完整功能的性愛機械人。它在道德倫理層面上是具一定爭議性的，甚至可能衍生出新的法律問題。 性愛機械人此一構想最先出現於科幻小說中，但随着科技進步，此一構思逐漸成為了現實。 2002年，性愛機械人尚未出現於社交機械人的商品清單之上；到了2017年，性愛機械人的話語表達能力仍是非常有限。 為了讓其他類型的機械人更能了解人類的行為和更具互動性，許多研究者曾進行大大小小不同的研究工作。此一研究領域在20世紀末已得到了充分發展；相關技術的統合則形成了現今的人工智能——一種旨在改善人机交互界面的技術。 如果性愛機械人配備了足夠複雜的人工智能以及擁有多樣化的性技巧，它就可以影響人的深度情感生活，引起人類強烈的情緒反應，並使人們的生活變得更為虛擬化。 負責任機械人基金會（Foundation for Responsible Robotics）在2017年7月發表了一份報告，表示因為人們接觸性愛機械人的机会仍是很少，所以他們的相關印象基本都是源於科幻小說、漫畫和電影，但這種機械人存有一定的市場需求：只提供性愛娃娃予客人的妓院已出現於西班牙和亞洲，且从性愛娃娃在全球的銷售量不斷增長的现象可見，性愛機械人擁有一定的市場。
車廂,車廂，是交通工具中乘客和司機處身的房間。車廂的空間分為司機位及乘客座位和站位。長途車或許設置床位或稱臥鋪。中華人民共和國鐵道部直通車座位也分為軟座和硬座。 私家車的車廂設計多數為乘客享受著想，所以不單安裝舒適的軟座，也加設空調、汽車音響及通訊儀器等。 集體運輸交通工具，例如巴士和電車的車廂為多收乘客，設計或許擠迫。
投石機,投石機或稱拋石機、砲或炮，是遠古時代與中古時代出現的攻城武器，可把石彈、巨石或爆裂物投到敵方的城牆、城內或者兵陣內而造成破壞。 漢語的「砲」便是古汉语动词 “ 抛 ” 的名词形式，这种通过声调改变词性的手段被称为四声别义。「砲」原指投石機與其彈，唐後也指由投石機發射的燃燒物，宋後也指由投石機發射的縱火物與爆裂物，明後也指大型管身火器。宋代之前「砲」與「炮」不同義，「炮」只有「燒烤」的意思，宋代之後「炮」逐漸有「砲」的意思。就連「火砲」一詞最初也是指發射燃燒物或爆裂物投石機與其砲彈，明後才也指大型管身火器。
小区全球识别码,小区全局标识（Cell Global Identity，简称CGI）是移动电话网络中的基地收发机站的全局唯一标识。由移动国家码（Mobile Country Code，简称MCC）、行動裝置國家代碼（Mobile Network Code，简称MNC）、位置区码（Location Area Code，簡稱LAC）以及小区标识（Cell Identification，简称CI）四個部分組成。它是3GPP移动网络规范中不可分割的一部分，被用于，例如，识别不同的基站，以便在被不同设备分别控制的基站之间，或者在不同的移动电话制式之间，对正在进行中的电话呼叫进行 “ 切换 ” 。 MCC（移动国家码）和MNC（移动网络代码）一起，构成了公共陆基移动网（PLMN）标识，而PLMN标识则进一步和位置区码（LAC）构成了位置区标识（Location Area Identity，简称LAI），该标识在一个给定的运营商的网络中，可以唯一标识一个位置区。因此，一个CGI（小区全局标识）可以被看做是LAI加上小区标识（Cell Id），用来进一步标识位于该位置区中的一个独立的基站。
Change.org,Change.org創立於2007年，為一社會公益請願網站，由Ben Rattray創立。目前擁有橫跨196個國家、超過4千萬的使用者。 == 參考資料 ==
中文房间,"中文房间（英语：Chinese room），是由约翰·希尔勒提出的一个思想實驗，借以反驳强人工智能的观点。根据强人工智能的观点，只要计算机拥有了适当的程序，理论上就可以说计算机拥有它的认知状态並且可以像人一样地进行理解活动。 該實驗出自约翰·罗杰斯·希尔勒的論文《心靈、大腦和程序》（Minds , Brains , and Programs）中，發表於1980年的《行为与脑科学》。"
思科Cius,思科Cius 是一台思科推出的Android系統平板電腦 . 2010年6月份原型機首次公佈.Cius預定2011年7月31日上市，售價約750美元。Cius主推企業法人單位，有硬體加密技術和軟體加密搭配，因此無法破解。企業還可限制員工使用應用軟體的種類、名稱或來源，也就是說，可以防止員工用公司發的Cius打電動甚至網購。目前使用Cius的單位有電信業者Verizon、CDW、Nervecentre Software、諾丁漢大學醫院、威斯康辛大學白水分校。
民間記者,民间记者，台湾称公民记者，是指不屬於傳統傳媒體系以外的新聞工作者，包含已脫離一般傳媒機構、以獨立身份对事件做出報導的人，或者對新聞工作有興趣的業餘人士。這個風氣沿自部落格和民間獨立媒體的盛行。雖然公民記者以「記者」為名，但由於自身或所屬團體大多自外於原本的傳媒產業，且不一定擁有新聞相關的專業素養，因此並不完全能融入於傳媒產業的從業人員當中，例如較不容易取得記者證。
公民科技,"公民科技是指一类技术（尤其是信息技术），此类技术能够促使公民参与公益事业发展，加强公民之间的交流，改善政府的基础设施建设，促使政府和国家变得更高效。 “ 公民科技 ” 包含公民应用、平台、以及实现上述目标的其他软件。 It encompasses civic applications , platforms supporting government bodies , institutions and other software enabling"
協作新聞學,協作新聞學（Collaborative journalism）是一種新興的新聞學理念，為讓好幾位新聞記者或新聞相關機構，協力撰寫新聞報導。
Firefox OS裝置列表,此條目收錄使用由Mozilla基金會所開發的Firefox OS作業系統裝置。
显示技术的比较,以下是各种显示技术之间不同特性的比较。
移动操作系统比较,移动操作系统比较。 下表仅包括最新版系统。
Wiki農場比較表,這是一個Wiki站點架設網站的比較表，一般比較其收費、廣告、版權條款及Alexa排名。 Wiki是一個網上合作工具；第一，他們是比一般網站容易編輯，且可以用標準瀏覽器訪問；第二，修訂是存檔及可重寫的。
